celda_id,dtot,ini_dia,fin_dia,valida,lon,anio_inicio,anio_fin
c1085_m08455,38,200,242,TRUE,43,2002,2025
c1085_m08465,82,183,256,TRUE,74,2002,2025
c1085_m08475,43,199,244,TRUE,46,2002,2025
c1085_m08485,17,NA,NA,FALSE,NA,2002,2025
c1085_m08495,42,193,256,TRUE,64,2002,2025
c1085_m08505,20,NA,NA,FALSE,NA,2002,2025
c1085_m08515,13,NA,NA,FALSE,NA,2002,2025
c1085_m08525,10,NA,NA,FALSE,NA,2002,2025
c1085_m08535,2,NA,NA,FALSE,NA,2002,2025
c1085_m08545,1,NA,NA,FALSE,NA,2002,2025
c1085_m08555,48,147,254,TRUE,108,2002,2025
c1085_m08565,94,184,233,TRUE,50,2002,2025
c1085_m08575,139,193,239,TRUE,47,2002,2025
c1085_m08585,1,NA,NA,FALSE,NA,2002,2025
c1085_m08595,2,NA,NA,FALSE,NA,2002,2025
c1095_m08445,6,NA,NA,FALSE,NA,2002,2025
c1095_m08455,28,NA,NA,FALSE,NA,2002,2025
c1095_m08465,72,129,252,TRUE,124,2002,2025
c1095_m08475,81,193,258,TRUE,66,2002,2025
c1095_m08485,52,220,249,TRUE,30,2002,2025
c1095_m08495,5,NA,NA,FALSE,NA,2002,2025
c1095_m08505,9,NA,NA,FALSE,NA,2002,2025
c1095_m08515,8,NA,NA,FALSE,NA,2002,2025
c1095_m08525,91,212,244,TRUE,33,2002,2025
c1095_m08535,66,205,244,TRUE,40,2002,2025
c1095_m08545,43,215,248,TRUE,34,2002,2025
c1095_m08555,48,206,255,TRUE,50,2002,2025
c1095_m08565,191,185,239,TRUE,55,2002,2025
c1095_m08575,66,185,252,TRUE,68,2002,2025
c1105_m08465,3,NA,NA,FALSE,NA,2002,2025
c1105_m08475,32,195,239,TRUE,45,2002,2025
c1105_m08525,14,NA,NA,FALSE,NA,2002,2025
c1105_m08535,139,210,243,TRUE,34,2002,2025
c1105_m08545,178,220,250,TRUE,31,2002,2025
c1105_m08555,217,211,250,TRUE,40,2002,2025
c1105_m08565,373,207,246,TRUE,40,2002,2025
c1105_m08575,59,209,248,TRUE,40,2002,2025
c1115_m08555,43,223,242,TRUE,20,2002,2025
c1115_m08565,160,210,245,TRUE,36,2002,2025
